farm_id,crop_label,row,col,NDVI_t01,EVI_t01,NDMI_t01,NDVI_t02,EVI_t02,NDMI_t02,NDVI_t03,EVI_t03,NDMI_t03,NDVI_t04,EVI_t04,NDMI_t04,NDVI_t05,EVI_t05,NDMI_t05,NDVI_t06,EVI_t06,NDMI_t06,NDVI_t07,EVI_t07,NDMI_t07,NDVI_t08,EVI_t08,NDMI_t08
farm_00000,Rice,19,17,0.27723971009254456,-1.0,0.17975957691669464,0.4837063252925873,2.353390693664551,0.23395918309688568,0.4535142779350281,2.00771164894104,0.22897756099700928,-0.042867183685302734,0.05495891720056534,0.16072949767112732,0.3629959225654602,1.1106069087982178,0.1574307233095169,0.20137692987918854,0.4512939155101776,0.004710808862000704,0.15573494136333466,0.4017702043056488,-0.024833261966705322,0.0549161471426487,-0.1275295913219452,0.15593190491199493
farm_00000,Rice,18,15,0.27371272444725037,-1.0,0.17271971702575684,0.4671389162540436,2.1896328926086426,0.22089405357837677,0.44175267219543457,2.090311050415039,0.21714387834072113,0.015812169760465622,-0.021071450784802437,0.25147581100463867,0.3971291780471802,1.2096513509750366,0.205688938498497,0.2132890373468399,0.47216299176216125,0.03207573667168617,0.19055764377117157,0.43689700961112976,-0.019165726378560066,0.05139593780040741,-0.11893399804830551,0.16148251295089722
farm_00000,Rice,20,13,0.24606060981750488,-1.0,0.17117629945278168,0.4467237591743469,2.4790008068084717,0.21961048245429993,0.4309079349040985,2.0166831016540527,0.2194424569606781,0.07644038647413254,-0.09275282174348831,0.2728499174118042,0.3752283453941345,1.2053990364074707,0.1689441055059433,0.21301871538162231,0.48242059350013733,-0.02114248275756836,0.17692555487155914,0.43146809935569763,-0.013506213203072548,0.10182063281536102,-0.1687622219324112,0.18416523933410645
farm_00000,Rice,17,12,0.2739313542842865,-1.0,0.17229916155338287,0.45209819078445435,2.236584424972534,0.20183485746383667,0.44675540924072266,2.0233609676361084,0.20596393942832947,0.07471607625484467,-0.11294840276241302,0.21774466335773468,0.40892982482910156,1.3046919107437134,0.21497325599193573,0.21265141665935516,0.48954299092292786,0.04797906428575516,0.18288986384868622,0.4344695210456848,-0.022951731458306313,0.04879555106163025,-0.11663098633289337,0.14943306148052216
farm_00000,Rice,10,11,0.34112024307250977,-1.0,0.20745697617530823,0.46807241439819336,2.2818076610565186,0.23700971901416779,0.4620746076107025,2.1515846252441406,0.21789617836475372,0.04539277032017708,-0.13106262683868408,0.09635119885206223,0.42424243688583374,1.3307409286499023,0.2520054578781128,0.22624742984771729,0.4938087463378906,0.061067573726177216,0.18092982470989227,0.4042342007160187,0.015404201112687588,0.04499100148677826,-0.10479982942342758,0.09422110766172409
farm_00000,Rice,20,9,0.26738882064819336,-1.0,0.15270936489105225,0.46390578150749207,2.5543932914733887,0.2276565283536911,0.4514699876308441,2.1458652019500732,0.23087431490421295,0.037902940064668655,-0.060843851417303085,0.19787408411502838,0.47178953886032104,1.6465330123901367,0.25873297452926636,0.267180472612381,0.621220052242279,0.08287595957517624,0.1964757740497589,0.45925721526145935,0.037169042974710464,0.0865352526307106,-0.14794082939624786,0.16988937556743622
farm_00000,Rice,16,14,0.30332452058792114,-1.0,0.18990062177181244,0.48291176557540894,2.3864502906799316,0.21866074204444885,0.46102818846702576,2.148792266845703,0.21349862217903137,0.09485325217247009,-0.09359916299581528,0.2993437647819519,0.39261382818222046,1.2517147064208984,0.20733602344989777,0.2086574286222458,0.4607916474342346,0.04625292867422104,0.18074792623519897,0.4256359934806824,-0.005395945627242327,0.02926829271018505,-0.0741942971944809,0.12909698486328125
farm_00000,Rice,22,13,0.26427310705184937,-1.0,0.19932998716831207,0.4920816719532013,2.6029469966888428,0.2670123279094696,0.46843335032463074,2.304447889328003,0.2524513900279999,0.020587243139743805,-0.023991189897060394,0.20166897773742676,0.31864026188850403,0.927678108215332,0.1147955134510994,0.1658291518688202,0.3758767545223236,-0.026501767337322235,0.07105156034231186,0.21201841533184052,-0.166376993060112,0.12357954680919647,-0.18158100545406342,0.18092750012874603
farm_00000,Rice,21,9,0.24684785306453705,-1.0,0.14513638615608215,0.44257214665412903,2.523189067840576,0.2160000056028366,0.420652836561203,2.025103807449341,0.21424812078475952,0.015538489446043968,-0.025800712406635284,0.18730424344539642,0.46100053191185,1.8205636739730835,0.23980523645877838,0.2631404399871826,0.6361231207847595,0.049022309482097626,0.19788426160812378,0.4754073917865753,0.028311965987086296,0.08553971350193024,-0.14915655553340912,0.17746686935424805
farm_00000,Rice,20,17,0.2795180678367615,-1.0,0.18626081943511963,0.4971451163291931,2.83707857131958,0.24737532436847687,0.46814727783203125,2.0200066566467285,0.247682124376297,-0.0356023907661438,0.04443022608757019,0.1677875518798828,0.31192660331726074,0.9162362217903137,0.11139896512031555,0.1659482717514038,0.35772356390953064,0.01334582082927227,0.09331197291612625,0.28962087631225586,-0.1323692947626114,0.06734006851911545,-0.14348231256008148,0.16202345490455627
